final_holder_id,tx_count,received_sum_ada,sent_sum_ada,received_sum_gens,sent_sum_gens,received_sum_milk,sent_sum_milk,received_sum_min,sent_sum_min,received_sum_wrt,sent_sum_wrt,received_sum_sundae,sent_sum_sundae,received_token_count,sent_token_count,gens_balance,milk_balance,min_balance,wrt_balance,sundae_balance,token_num,ada_balance,is_virtual,all_bech32_addresses,has_script_address
stake1uycnrrdvw8d3sf50uxpww39xs3caslj577d8qtvsc7npq0qwqwjf5,26,465.385032,450.761099,0.0,0.0,0.0,0.0,0.0,0.0,5911.111103,4133.333326,0.0,0.0,5,5,0.0,0.0,0.0,1777.777777,0.0,1,14.623933,False,['addr1q9heeyquw57xm0c2l2egm5vppxjv26cncek0nf0u33258w33xxx6cuwmrqnglcvzuaz2dpr3mpl9fau6wqkep3axzq7qwdchgs'],False
stake1uycnzp4345kvenf02yxht7zt96cyex5jhj2p024jr4c0jwqm4ph0q,2,381.699916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41,0,0.0,0.0,0.0,1.0,0.0,41,381.699916,False,['addr1q8jzel6wunqhh2duw8saswgux043t5trff7e29kjp0xp82p3xyrtrtfvenxj75gdwhuykt4sfjdf90y5z74ty8tslyuquep5px'],False
stake1uycp0xetnmuncye0cspymjl9e3cd9m3tcfskzunhrygc9eg329k7r,115,8308.592832,6897.344926,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,141.590275,0.0,75,0,0.0,0.0,0.0,40.0,141.590275,75,1411.247906,False,['addr1qxna2qsxthyj73kxw3xtc7jhlese2zavntq3l6jrx8z2v4esz7djh8he8sfjl3qzfh97tnrs6thzhsnpv9e8wxg3stjsx54mac'],False
stake1uycpdnlcd2f3nn9m4f0rxde7hyau7h9emntmfks58vdcvycm9m6w9,772,64117.225284,63865.049917,127.818754,127.818754,0.0,0.0,84432.71063399999,84423.484048,1016.174366,951.443384,14901.032488,14562.823487,54,53,0.0,0.0,9.226586,64.730982,338.209001,28,252.175367,False,['addr1qxx0majjd3avlx9qc2yqvsff5syla9vyd6zdrqdw9rp0p8fszm8ls65nr8xth2j7xvmnawfmeawtnhxhkndpgwcmscfsmdwxln'],False
stake1uycpyug3smglunxp3jh7ejywt3msedk8fdh7gaw8htuas3cq5wunk,977,1646659.658213,1592881.520568,58.88439,58.88439,17266.0,17266.0,834756.800635,834756.700635,89.2,82.6,10976.061395,10976.061395,270,266,0.0,0.0,0.1,6.6,0.0,36,53778.137645,False,['addr1q8ffkve759u4efvnx4jxdy4325fzqw0s39x000a6l3mvd7fszfc3rpk3lexvrr90anyguhrhpjmvwjm0u36u0whemprsmcx3pp'],False
stake1uycq5vf3gcu545fz0ze33twcneg2xpzkrezepfps36t290cculh84,306,157684.812006,156484.144365,0.0,0.0,0.0,0.0,0.0,0.0,382.727758,142.812092,4.0,0.0,148,138,0.0,0.0,0.0,239.915666,4.0,24,1200.667641,False,['addr1q9kchy2lkk3an3k3r70frl2l979dvptz6rf20lzqt6u884pspgcnz33eftgjy79nrzka38js5vz9v8j9jzjrpr5k52ls8vu6j5'],False
stake1uycqhx5nzhm80eqm9px9efd7xvrcf09kw48e84pdge6erngkd08gx,38,1954.239763,712.324842,0.0,0.0,0.0,0.0,1034.499926,1034.499926,3.5,0.0,0.0,0.0,34,7,0.0,0.0,0.0,3.5,0.0,29,1241.914921,False,['addr1q88x5hxv7z25l2l6nnluy9s0azfaz2zdlxpn06nlhwgpm7fspwdfx90kwljpk2zvtjjmuvc8sj7tva20j02z63n4j8xsfqnhha'],False
stake1uycqvxf47ec7rj7jmr6pasqh8kuaj2m9q08dj6tpexar9msgzpvh9,164,4076.802814,3967.354773,0.0,0.0,0.0,0.0,0.0,0.0,14.146736,12.378394,0.0,0.0,713,496,0.0,0.0,0.0,1.768342,0.0,701,109.448041,False,['addr1q8jkd88npmjvv03kan8eqfmmzrfrk5t0lhseldc3dk7hknesqcvntan3u89a9k85rmqpw0demy4k2q7wm95krjd6xthqk3z7qd'],False
stake1uycr439d63qcgds3amjc8nq0jgmcdy28wz9wdl6vth8w38g0stwt7,172,59353.238354,48485.477004,0.0,0.0,0.0,0.0,0.0,0.0,484.236161,470.225603,24.0,0.0,101,65,0.0,0.0,0.0,14.010558,24.0,59,10867.76135,False,['addr1qxm4jjkttfdn4mmkgn8ffkm6gyj0lmdesc6vft9lxk4ch6ps8tz2m4zpssmprmh9s0xqly3hs6g5wuy2uml5chwwazwsqlzfc4'],False
stake1uycr5hspxmjc6xzg5muqqxv5d9e48vmrdc0qts0uskxlxks6ukzn7,231,119614.368064,119579.81588,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,112.463605,89.970884,192,192,0.0,0.0,0.0,1.0,22.492721,75,34.552184,False,['addr1qx0k7dgx9gayptwwejdxzy97kkhpy0mdx8eac844awt6r2es8f0qzdh935vy3fhcqqveg6tn2wekxms7qhqlepvd7ddquenllc'],False
stake1uycrcajspv247ay8ampj3cv6jn4stq4rhz4f8axvkvea3asky0mpc,27,2239.809631,2194.611193,0.0,0.0,0.0,0.0,0.0,0.0,2478.880706,0.0,0.0,0.0,14,5,0.0,0.0,0.0,2478.880706,0.0,12,45.198438,False,['addr1q86l7htgpx8wlzhxe8ruldmrzgnkstqwaam8u73syc7fz0es83m9qzc4ta6g0mkr9rse498tqkp28w92j06vevenmrmqmt2y5k'],False
stake1uycrgdwqxgj4zeuk09w6u57m2yrrl08k5stwhd7qygn7d7g70gqpn,603,8199.867614,8160.523623,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,163,162,0.0,0.0,0.0,1.0,0.0,163,39.343991,False,['addr1qxqpand35j4xgrpdaeg3tymdt2ee9sfn2r83cwdwmpl54d3sxs6uqv3929nev72a4efak5gx8770dfqkawmuqg38umus6rtr0k'],False
stake1uycs5t547v4u086g3l9pjc4apjqfuykrk4mqw6jzh4ytluqwvwef9,90,4167.838373,3773.171018,0.0,0.0,0.0,0.0,2322.352584,1206.877626,9.0,7.0,234.227165,220.441237,47,39,0.0,0.0,1115.474958,2.0,13.785928,39,394.667355,False,['addr1qya3yq32m7ceehk7p7hf38xzwtk2ylkyt65a3lm8c8ev86p3pghftuetc7053r72r93t6ryqncfv8dtkqa4y902ghlcqa9ue85'],False
stake1uycs6t7np26j5wr8v2k0sjzs77d4v99z3cv59w6mrzh5xvczjq3hc,1,43.643675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.157544,0.0,0.0,0.0,45,0,0.0,0.0,0.0,135.157544,0.0,45,43.643675,False,['addr1q8qh9t68qmxpvgut230m3g2gxwrn3snf0cr2qnzk6smw6733p5haxz449guxwc4vlpy9paum2c229rseg2a4kx90gveseydx04'],False
stake1uycscfqhjn6vwfky0xj9njm3s67ce0xausx9sxjw7q4wmycwxhu8w,1,1.82744,0.0,8.7e-05,0.0,0.0,0.0,0.0,0.0,8.485601,0.0,0.0,0.0,5,0,8.7e-05,0.0,0.0,8.485601,0.0,5,1.82744,False,['addr1q9n6894m35r8y7plqxvdn4spkq9uu6gfqqqxjekad5zmry33psjp0985cunvg7dyt89hrp4a3j7dmeqvtqdyaup2akfs3dcxyg'],False
stake1uycsczfwn69ak7tql0kv5lyhyr80zue86hkrnlhvsfselrcp5u488,63,248.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,1956.686692,1897.638718,0.0,0.0,4,4,0.0,0.0,0.0,59.047974,0.0,3,8.0,False,['addr1zypr0np3xatwhddulsnj3aaac65qg768zgs2xpd2xuaj0z33psyja85tmdukp7lvef7fwgxw79ej040v88lweqnpn78suc7zvy'],True
stake1uycshxk4lffq2vzcuf0azcpryngfej3pm243h65exs4w00scrahe2,81,2837.370457,2682.638858,0.0,0.0,35.0,0.0,26073.802936,22335.174115,203.953136,0.0,2212.869317,0.0,17,11,0.0,35.0,3738.628821,203.953136,2212.869317,11,154.731599,False,['addr1qxx0532qz8vuyayn68hfagm84fuv73r4pka52cnuwtdgra33pwddt7jjq5c93cjl69szxfxsnn9zrk4tr04fjdp2u7lq8u86f5'],False
