bech32_address,tx_count,received_sum_ada,sent_sum_ada,received_sum_gens,sent_sum_gens,received_sum_milk,sent_sum_milk,received_sum_min,sent_sum_min,received_sum_wrt,sent_sum_wrt,received_sum_sundae,sent_sum_sundae,received_token_count,sent_token_count,hex_address,gens_balance,milk_balance,min_balance,wrt_balance,sundae_balance,token_num,ada_balance
addr1q98jxshp8szmj93xwyvqa9adrrr83ymhlkrzmeandyykw7l4kvqgfxucchnk8jl25c59ep4r392fahjgms340740nxwstfxl8w,282,360026.441072,359937.664029,0.0,0.0,0.0,0.0,1062155.320947,910418.846526,2471206.963301,2169834.370325,1215016.17894,1215016.17894,22,21,014f2342e13c05b9162671180e97ad18c6789377fd862de7b36909677bf5b300849b98c5e763cbeaa6285c86a389549ede48dc2357faaf999d,0.0,0.0,151736.474421,301372.592976,0.0,14,88.777043
addr1qyf0ayjsuq9kw7fsyxfhvrjc7382eczrxyvlt8ylnw2e2j6wecyurfc7sehzxk26hye4y4u94yw0gfypykaf2dqcp3lsfh442c,58,949979.030384,949910.686849,0.0,0.0,4329.0,4329.0,0.0,0.0,3988249.80036,3703374.81462,0.0,0.0,12,9,0112fe9250e00b6779302193760e58f44eace0433119f59c9f9b95954b4ece09c1a71e866e23595ab933525785a91cf4248125ba9534180c7f,0.0,0.0,0.0,284874.98574,0.0,6,68.343535
addr1q86spwpet2skh2s60twxhdthxtaaafjev79xjj2kfqxnqquxqg42wwvakvwuet3twfueg3wwxelx7f05ha0lsgpapuhsn84p0t,13,112.818014,45.775784,0.0,0.0,0.0,0.0,0.0,0.0,1117739.498515,846418.5714,0.0,0.0,3,1,01f500b8395aa16baa1a7adc6bb57732fbdea659678a694956480d300386022aa7399db31dccae2b72799445ce367e6f25f4bf5ff8203d0f2f,0.0,0.0,0.0,271320.927115,0.0,3,67.04223
addr1q9e83f5yu4t2kuv6wlp8avrgf7rwjumlaxzf25hajm228zt96gm6azm0awjfa8jxjz07h4fce7e8mguv2kpalt3kwx3qa8sjlt,1025,3079338.621426,3079058.445481,2212941.531612,2162940.872381,268675.0,268675.0,243000001.24286,240414879.784065,4546710.526397,4296709.561981,69064780.157302,68030814.286321,40,40,017278a684e556ab719a77c27eb0684f86e9737fe9849552fd96d4a38965d237ae8b6feba49e9e46909febd538cfb27da38c5583dfae3671a2,50000.659231,0.0,2585121.458795,250000.964416,1033965.870981,27,280.175945
addr1q920g0jwzdwlg4fmdsp0z34sm58r5dxt4yctwplapj2z3gcuet9e9nrkxlk7av30mehgsn8tunlgpuwlv6f4yyd4lzkshvndj4,344,768557.157758,768422.096884,0.0,0.0,0.0,0.0,0.0,0.0,5686169.364699,5437584.240918,448567.619516,442249.76572,45,43,0154f43e4e135df4553b6c02f146b0dd0e3a34cba930b707fd0c9428a31ccacb92cc7637edeeb22fde6e884cebe4fe80f1df66935211b5f8ad,0.0,0.0,0.0,248585.123781,6317.853796,30,135.060874
addr1q890sne7422mf56fnsjqcgl0rzde3uuqwwdukal6zzakrhvr9g3p3jugd8ed0gjtzf0t288ew6h6rfvl04d80y6vumaqznva79,6,6475.736067,6467.921456,0.0,0.0,0.0,0.0,0.0,0.0,244293.661409,0.0,0.0,0.0,1,0,01caf84f3eaa95b4d3499c240c23ef189b98f380739bcb77fa10bb61dd832a2218cb8869f2d7a24b125eb51cf976afa1a59f7d5a77934ce6fa,0.0,0.0,0.0,244293.661409,0.0,1,7.814611
addr1q82uzp3y4qkh9lwf9n95982y2jz0vcm5n9wf3srg2fjeyd2l9jcwjh0lz75pz5p7r6n65ckdzghaqckc6g07j0ezmnjs85yl9g,211,50910.909406,49709.123437,0.0,0.0,0.0,0.0,0.0,0.0,951917.68562,733344.73567,0.0,0.0,59,55,01d5c10624a82d72fdc92ccb429d445484f66374995c98c068526592355f2cb0e95dff17a811503e1ea7aa62cd122fd062d8d21fe93f22dce5,0.0,0.0,0.0,218572.94995,0.0,11,1201.785969
addr1q896d0rg07gwrx55p4dlugfy4lden8k4n86epfftc2w7s5v0wzq62fyjv6r3a6swj8eavf65vly5q36xfeh36e5f0vws8psv9f,505,5187252.42349,4694204.42798,792413.181161,792413.181161,0.0,0.0,0.131551,0.074102,2771408.919903,2558223.618372,265956.455767,232928.908057,936,927,01cba6bc687f90e19a940d5bfe2124afdb999ed599f590a52bc29de8518f7081a5249266871eea0e91f3d6275467c94047464e6f1d66897b1d,0.0,0.0,0.057449,213185.301531,33027.54771,900,493047.99551
addr1qxg5zjakcu82yt98khmafmcl2zywc0cnsxf6yqqu9uzlkqeg9578cdenr70xg4vfvg3xp2mnu65r5tdavhvuf9k6vqhsgkahfz,1,13084.88344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204714.285755,0.0,0.0,0.0,1,0,0191414bb6c70ea22ca7b5f7d4ef1f5088ec3f138193a2001c2f05fb03282d3c7c37331f9e645589622260ab73e6a83a2dbd65d9c496da602f,0.0,0.0,0.0,204714.285755,0.0,1,13084.88344
addr1qxwknru0tguc6akdxvdzq2kwlglycf036saf3l5h5evq5ldtayz0mup8mtzs9hgnrmss52y4qqk4k402zp0tcnkpt3cqqvu5ag,169,77417.668585,77390.559662,0.0,0.0,0.0,0.0,0.0,0.0,4713197.619324,4512125.27494,5534692.00143,5534692.00132,12,12,019d698f8f5a398d76cd331a202acefa3e4c25f1d43a98fe97a6580a7dabe904fdf027dac502dd131ee10a2895002d5b55ea105ebc4ec15c70,0.0,0.0,0.0,201072.344384,0.00011,10,27.108923
