token,bech32_address,quantity,token_amount,hex_address
WRT,addr1qyn7ddedvgh00rsv8hdzvya6t676dl2gf5ly97sz38jlt5exut3kfvscxksrjw9k4qpr0nysdlt8wxsz36fqrgr23zlqg4ls5p,190013782188,190013.782188,0127e6b72d622ef78e0c3dda2613ba5ebda6fd484d3e42fa0289e5f5d326e2e364b21835a03938b6a80237cc906fd6771a028e9201a06a88be
WRT,addr1q8rtscgmcyslepf4x7zffr23yzxkf2agvj9v8p7zjum7w0jqgr8rtxftvr7256swfgrqpjxzjztd60mjdmxl0hnt7uzs09ftmc,188469989204,188469.989204,01c6b8611bc121fc85353784948d51208d64aba8648ac387c29737e73e4040ce35992b60fcaa6a0e4a0600c8c29096dd3f726ecdf7de6bf705
WRT,addr1qyklca5ck8r2msd906ksfu3teplfsu9rdfjuh6adzynfga565jv9afummy3gf0mdkmdv7hn4celukrcv59y8k5xqhqmqkw7thx,179107805453,179107.805453,012dfc7698b1c6adc1a57ead04f22bc87e9870a36a65cbebad112694769aa4985ea79bd92284bf6db6dacf5e75c67fcb0f0ca1487b50c0b836
WRT,addr1q9uxhz8je2lnyvf97k5vyq4j2hy8a7ffn0nz59mtcn8sfs66ptfle75fd98jte8j9mkddttth44ns7h0r9490dg0kxaqd3hx6t,158530753465,158530.753465,01786b88f2cabf323125f5a8c202b255c87ef9299be62a176bc4cf04c35a0ad3fcfa89694f25e4f22eecd6ad6bbd6b387aef196a57b50fb1ba
WRT,addr1w8qnfkpe5e99m7umz4vxnmelxs5qw5dxytmfjk964rla98q605wte,158495452946,158495.452946,71c134d839a64a5dfb9b155869ef3f34280751a622f69958baa8ffd29c
WRT,addr1qyc4wk9n7nuf6ulrg83q5tkf7za9z6z956hn8ydak8kps42ysrlj3qv8vnxf0gwwnp9v0r2ptvnvmhksluvdz424dufqfnk7qc,157251389748,157251.389748,01315758b3f4f89d73e341e20a2ec9f0ba516845a6af3391bdb1ec18554480ff28818764cc97a1ce984ac78d415b26cdded0ff18d155556f12
WRT,addr1q9mcm3cvl3ayc8ch49d4f32727pewsyslwfwvphpjc9u6j42g2lshtsllltedpltd6crfl89duts7ws7sa8k58nxf49qhtshv4,152632452793,152632.452793,01778dc70cfc7a4c1f17a95b54c55e5783974090fb92e606e1960bcd4aaa42bf0bae1fffd79687eb6eb034fce56f170f3a1e874f6a1e664d4a
WRT,addr1qyxjtkrc0zwa273gdrphrmymew29uxya2utg83lxzp3znsjnutps7ma97hyfwk9khefevgqceqwt6geahvn6jhpt9zzq2dn5gm,149284500000,149284.5,010d25d878789dd57a2868c371ec9bcb945e189d571683c7e6106229c253e2c30f6fa5f5c89758b6be53962018c81cbd233dbb27a95c2b2884
WRT,addr1q8yq5qjdlgflumfcle07wqzygn9sg9mxa09hlj8y8vhzjg2xzgrh3kqm09jv5tvz6yyn4f2qq9uf9serc7rz92u8mqjqqr9ddv,133535541027,133535.541027,01c80a024dfa13fe6d38fe5fe7004444cb041766ebcb7fc8e43b2e292146120778d81b7964ca2d82d1093aa540017892c323c78622ab87d824
WRT,addr1q945rfg659h650yxr05zt26grv32ttruwg5ap2ngdnl625jtaqpdnxkv0nj9vj2l7jvftx0ka3xcucytems4knqje8aszmlv4k,133334000000,133334.0,016b41a51aa16faa3c861be825ab481b22a5ac7c7229d0aa686cffa5524be802d99acc7ce456495ff4989599f6ec4d8e608bcee15b4c12c9fb
WRT,addr1q872pu9sp3ky28v7eaxlxqtxpr72kdch4u6gx9kw632hjedzr46yss7t0t9wnefx8l3nk4pdk6r4ppf4psdf86cdnleqsywmdd,126787360667,126787.360667,01fca0f0b00c6c451d9ecf4df3016608fcab3717af348316ced4557965a21d744843cb7acae9e5263fe33b542db6875085350c1a93eb0d9ff2
WRT,addr1q8txcm0p9lvkdu9427l50yup4rx9j4yjmdjpgaf0w8y52vdxwl52ag3agfduecyfuyjze09u53nw3e2vef7rptnahsyqm0r0k5,125581791690,125581.79169,01d66c6de12fd966f0b557bf479381a8cc595492db6414752f71c94531a677e8aea23d425bcce089e1242cbcbca466e8e54cca7c30ae7dbc08
WRT,addr1q825p6fm8syhpyu8jvm6r99eps075t8q70cgpl465jn7725qgrnjhxwpzutalr94e2puggzu4k3z77gufu7u0kyh32rqhswvh3,119667421151,119667.421151,01d540e93b3c097093879337a194b90c1fea2ce0f3f080febaa4a7ef2a8040e72b99c11717df8cb5ca83c4205cada22f791c4f3dc7d8978a86
WRT,addr1qyrqlh5sd4legk7cn8wgsvv3qdq0ttlg8kn02ah6n5qypgdzvtgdndcfurvfr0v7fm0k9jssauk43cg9juduqqjyusrqujgvgj,119500000000,119500.0,01060fde906d7f945bd899dc8831910340f5afe83da6f576fa9d0040a1a262d0d9b709e0d891bd9e4edf62ca10ef2d58e105971bc00244e406
WRT,addr1q8e55dkpn88jsj0nxkm2qmtyct38dw5aqhuhxq055crrfzh8gk9v3trshh3fz6geq8889vgd2twhfmehxug9kj5fkg6st7a6he,103571428570,103571.42857,01f34a36c199cf2849f335b6a06d64c2e276ba9d05f97301f4a606348ae7458ac8ac70bde291691901ce72b10d52dd74ef3737105b4a89b235
WRT,Ae2tdPwUPEZ1MTBeiZaKi6wgoGQ3LoQynb4aQRyMyRkXRAGNNFwkZfoPjnA,93462420000,93462.42,
WRT,addr1qxjtfqg7p6sqdq4y5g24j6uwe58hd9huawd3wjtsn3804qu6xr2h8d3t0evp50sa3ywvz354vk28v7zqwta8fdtlq7tsudg8kd,90096218264,90096.218264,01a4b4811e0ea00682a4a215596b8ecd0f7696fceb9b1749709c4efa839a30d573b62b7e581a3e1d891cc14695659476784072fa74b57f0797
WRT,addr1qxax8h8x3rx02kt9j5twtc7q0f7dvsx2g36n33fwtlameapyftds6jfpk63u07g5zcvc5c633yrnhwgpvwaz7q0hz9aswyct85,89285714285,89285.714285,01ba63dce688ccf559659516e5e3c07a7cd640ca447538c52e5ffbbcf4244adb0d4921b6a3c7f91416198a635189073bb90163ba2f01f7117b
WRT,addr1qy9apllptwumct5nacjums9yfw9lhun4dae0tpxl77433j5h8v2wz7h2j62q3vkylr23n0ks6kd7c0e6ph4wzcf7aa4q0qskxc,87534358090,87534.35809,010bd0ffe15bb9bc2e93ee25cdc0a44b8bfbf2756f72f584dff7ab18ca973b14e17aea969408b2c4f8d519bed0d59bec3f3a0deae1613eef6a
